"BehaviorSpace results (NetLogo 5.0.5)"
"PTM_R.nlogo"
"sire-offspring"
"04/27/2014 11:40:40:533 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","4","0","4"
"[run number]","initial-males","distribution","male-min-resources","distance-trees","x-num-territories","regeneration-time","female-min-resources","age-of-dispersal","stop-ticks","prob-subordinate-win","create-figures","total-trees","table-name1","cost-offspring","initial-females","table-name2","y-num-territories","energy-to-reproduce","export-tables","[step]","length [offspring-sired] of males"
"119","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"120","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"121","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"122","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"123","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"124","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"125","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"126","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"127","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"128","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"129","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"130","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"131","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"132","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"133","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"134","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"135","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"136","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"137","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"138","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"139","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"140","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"141","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"142","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"143","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"144","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"145","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"146","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"147","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"148","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"149","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"150","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"151","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"152","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"153","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"154","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"155","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"156","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"157","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"158","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"159","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"160","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"161","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"162","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"163","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"164","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"165","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"166","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"167","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"168","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"169","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"170","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"171","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"172","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"173","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"174","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"175","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"176","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"177","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"178","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"179","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"180","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"181","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"182","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"183","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"184","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"185","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"186","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"187","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
